name,channel,videoid
to be loved is to be understood but to be human is to change,oliSUNvia,rbzm_RyS-Uk
The Persistence of Decay,Sarah Davis Baker,Yqz3h6RF_7I
The Importance of Real Things,Ted Kutina,J0DzXAx9qjI
'you don't owe anyone anything' yes you do,Curiouser and Curiouser with Leonie Dams,ejS22ldym2g
"if you’ve never been in a relationship, watch this (2025)",Christina Aaliyah,R-2_cOSdUYc
"Ebooks, Kindle and the Erosion of Ownership",Plant Based Bride,oqt7Ev37IbA
She said no. I walked twenty miles.,Houston Wilson,XjChXgMU_BI
【Hololive】 Botan is Loli 【Shishiro Botan/Clip/Ebihurai/Comic】,(EN) エビフライ / Ebihurai,EFO6xI3ar-s
【Hololive】 Gura loves Botan's cute voice 【Shishiro Botan/clip/Ebihurai/Animation】,(EN) エビフライ / Ebihurai,5kG8ewwCMms
【Hololive】 Botan killed the sniper with one shot 【Shishiro Botan/Clip/Ebihurai/Comic】,(EN) エビフライ / Ebihurai,BBhuNXSIzLo
Why Broken Worlds Feel Comforting,Phantom Shura,bjdBr0RbQB0
How Micro-Adventure Rewires Your Brain,Roo Wonders,-rG3KYs0oqo
The Real Way To Get Your First Handstand *For Beginners*,Meli,QezdZIqmd1k
You've reached a YouTube Checkpoint would you like to save,Sleepy Ghost,xRssykraFAA
Why you should have a Minccino in your Pokemon Black & White team,Pink Vanillish,mVj3Rbm7gks
Games that Make You Part of the Ecosystem,Curious Archive,ZFBUFFr4GmQ
The Most Powerful Type of Worldbuilding,Curious Archive,iHSEFMYjbnE
The Best Extraction Shooter (That Time Forgot) - The Division: Survival,MadmanEpic,8em4ztA07SY
When lying is the best strategy for AI,HGModernism,Qu-00j9XuF0
LISTERS: A Glimpse Into Extreme Birdwatching,owen reiser,zl-wAqplQAo
We Need To Talk About How Pokemon Evolved Their UI...A Designer's Perspective,Tri,HuKkWzRTL20
The EVOLUTION of Pokémon's User Interface,Hutch2Much,_NkNldw4fSY
Lessons Learned Creating UI for The Division,GDC Festival of Gaming,H1MLtML0np0
Who actually writes museum labels?,Shloop,LY7NmdPV1Lo
Notation Must Die: The Battle For How We Read Music,Tantacrul,Eq3bUFgEcb4
The Island at the Edge of the World,Aidin Robbins,DdxcS_AhkHY
be your own algorithm,pagemelt,Bdj14_jdumI
Mantracks: a True Story of Fake Fossils,Folding Ideas,2UDXdqqJQPE
In Search Of A Flat Earth,Folding Ideas,JTfhYyTuT44
"There is No ""Hardest"" Souls Game",Chad of Astora,a5n_fAeU7Ng
The Missed Opportunity of Pokémon Contests,NintenDomenic,eribqVXp0nE
YOU'RE CRINGE | comic by Centurii,Solus Astorias,4ssfZJ4cFLg
I am dowg | comic by Centurii,Solus Astorias,orFzznM4VPg
Daily Life of a Dowg | comic by Centurii,Solus Astorias,pVd_3mxriuM
You Deny Your Booty Its Purpose | comic by Centurii,Solus Astorias,NcB1UGXn8hY
Random PEAK Bullshittery,Soviet Womble,pfrIlbYiSaU
Jacinthe battle theme is so peak,sea skull,l49HwsVeuFI
